$submission->id, $submission->user->username, $submission->created_at, $start_judging_time,  $judge_run_time, $seconds_to_submit, $total_pending_time
12496, thi_cuoiky-O110-23520610-QT5N7, 2024-01-11 01:03:35, 2024-01-11 01:03:35, 7577, 1115, 0
12497, thi_cuoiky-O11-23520618-ELW21, 2024-01-11 01:03:38, 2024-01-11 01:03:39, 23934, 1118, 1
12498, thi_cuoiky-O110-23521443-7CSQR, 2024-01-11 01:03:39, 2024-01-11 01:03:40, 20165, 1119, 1
12499, thi_cuoiky-O112-23520175-ITNF6, 2024-01-11 01:03:41, 2024-01-11 01:03:41, 9506, 1121, 0
12500, thi_cuoiky-O11-23520368-5MFQV, 2024-01-11 01:03:43, 2024-01-11 01:03:43, 23017, 1123, 0
12501, thi_cuoiky-O110-23521064-NE0JR, 2024-01-11 01:03:46, 2024-01-11 01:03:47, 7786, 1126, 1
12502, thi_cuoiky-O110-23521363-KZ1JO, 2024-01-11 01:03:46, 2024-01-11 01:03:47, 9670, 1126, 1
12503, thi_cuoiky-O112-23520210-4KIRA, 2024-01-11 01:03:52, 2024-01-11 01:03:52, 22145, 1132, 0
12504, thi_cuoiky-O11-23520701-P7KJN, 2024-01-11 01:03:59, 2024-01-11 01:03:59, 23148, 1139, 0
12505, thi_cuoiky-O112-23520155-57HHB, 2024-01-11 01:04:03, 2024-01-11 01:04:04, 7303, 1143, 1
12506, thi_cuoiky-O110-23521363-KZ1JO, 2024-01-11 01:04:04, 2024-01-11 01:04:04, 9522, 1144, 0
12507, thi_cuoiky-O11-23520513-15VRI, 2024-01-11 01:04:05, 2024-01-11 01:04:05, 23149, 1145, 0
12508, thi_cuoiky-O11-23520986-LWMF5, 2024-01-11 01:04:08, 2024-01-11 01:04:08, 26672, 1148, 0
12509, thi_cuoiky-O112-23521220-XNYTN, 2024-01-11 01:04:11, 2024-01-11 01:04:12, 27653, 1151, 1
12510, thi_cuoiky-O112-23520616-D7DYW, 2024-01-11 01:04:14, 2024-01-11 01:04:14, 24894, 1154, 0
12511, thi_cuoiky-O110-23521320-9WQ08, 2024-01-11 01:04:14, 2024-01-11 01:04:15, 12219, 1154, 1
12512, thi_cuoiky-O11-23520044-X70JI, 2024-01-11 01:04:17, 2024-01-11 01:04:17, 25029, 1157, 0
12513, thi_cuoiky-O11-23520158-26N31, 2024-01-11 01:04:21, 2024-01-11 01:04:21, 25937, 1161, 0
12514, thi_cuoiky-O112-23520950-8TS6P, 2024-01-11 01:04:22, 2024-01-11 01:04:22, 70693, 1162, 0
12515, thi_cuoiky-O11-23520199-51GDB, 2024-01-11 01:04:22, 2024-01-11 01:04:23, 25238, 1162, 1
12516, thi_cuoiky-O11-23520453-RBLAK, 2024-01-11 01:04:25, 2024-01-11 01:04:25, 22787, 1165, 0
12517, thi_cuoiky-O110-23521601-4SUS8, 2024-01-11 01:04:26, 2024-01-11 01:04:26, 9573, 1166, 0
12518, thi_cuoiky-O112-23521127-G4CY4, 2024-01-11 01:04:42, 2024-01-11 01:04:42, 21564, 1182, 0
12519, thi_cuoiky-O110-23521064-NE0JR, 2024-01-11 01:04:43, 2024-01-11 01:04:43, 7480, 1183, 0
12520, thi_cuoiky-O11-23520899-ONHYB, 2024-01-11 01:04:43, 2024-01-11 01:04:43, 25198, 1183, 0
12521, thi_cuoiky-O110-23521641-2U084, 2024-01-11 01:04:46, 2024-01-11 01:04:46, 22762, 1186, 0
12522, thi_cuoiky-O112-23521034-PLHJF, 2024-01-11 01:04:52, 2024-01-11 01:04:52, 9024, 1192, 0
12523, thi_cuoiky-O110-23520754-TUV7G, 2024-01-11 01:04:52, 2024-01-11 01:04:53, 8861, 1192, 1
12524, thi_cuoiky-O112-23521795-21NDE, 2024-01-11 01:04:53, 2024-01-11 01:04:53, 9969, 1193, 0
12525, thi_cuoiky-O11-23520559-5U0BZ, 2024-01-11 01:04:58, 2024-01-11 01:04:58, 23397, 1198, 0
12526, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 01:04:58, 2024-01-11 01:04:58, 22787, 1198, 0
12527, thi_cuoiky-O110-23521363-KZ1JO, 2024-01-11 01:04:59, 2024-01-11 01:04:59, 11852, 1199, 0
12528, thi_cuoiky-O110-23521589-ZTTU0, 2024-01-11 01:05:00, 2024-01-11 01:05:00, 9642, 1200, 0
12529, thi_cuoiky-O110-23521064-NE0JR, 2024-01-11 01:05:01, 2024-01-11 01:05:01, 9644, 1201, 0
12530, thi_cuoiky-O11-23520986-LWMF5, 2024-01-11 01:05:03, 2024-01-11 01:05:04, 25826, 1203, 1
12531, thi_cuoiky-O11-19521407-42KZ8, 2024-01-11 01:05:04, 2024-01-11 01:05:04, 9184, 1204, 0
12532, thi_cuoiky-O110-23521634-VNYCH, 2024-01-11 01:05:12, 2024-01-11 01:05:12, 24764, 1212, 0
12533, thi_cuoiky-O112-23520802-ZP7FN, 2024-01-11 01:05:12, 2024-01-11 01:05:12, 22195, 1212, 0
12534, thi_cuoiky-O110-23520557-MWXMV, 2024-01-11 01:05:16, 2024-01-11 01:05:16, 25257, 1216, 0
12535, thi_cuoiky-O112-23521484-S67FD, 2024-01-11 01:05:18, 2024-01-11 01:05:18, 9779, 1218, 0
12536, thi_cuoiky-O110-23520790-Z91LF, 2024-01-11 01:05:21, 2024-01-11 01:05:21, 8739, 1221, 0
12537, thi_cuoiky-O11-23521013-47MX5, 2024-01-11 01:05:24, 2024-01-11 01:05:24, 21841, 1224, 0
12538, thi_cuoiky-O11-22520419-YCAJN, 2024-01-11 01:05:25, 2024-01-11 01:05:25, 21110, 1225, 0
12539, thi_cuoiky-O11-23520530-FPVPS, 2024-01-11 01:05:30, 2024-01-11 01:05:30, 21754, 1230, 0
12540, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 01:05:37, 2024-01-11 01:05:38, 8409, 1237, 1
12541, thi_cuoiky-O112-23520862-FC8C7, 2024-01-11 01:05:39, 2024-01-11 01:05:39, 9973, 1239, 0
12542, thi_cuoiky-O112-23521544-4UHDV, 2024-01-11 01:05:41, 2024-01-11 01:05:41, 18109, 1241, 0
12543, thi_cuoiky-O110-23520235-87BFO, 2024-01-11 01:05:47, 2024-01-11 01:05:47, 6763, 1247, 0
12544, thi_cuoiky-O11-23520845-IC7WD, 2024-01-11 01:05:51, 2024-01-11 01:05:52, 22324, 1251, 1
12545, thi_cuoiky-O11-23520307-YY4G2, 2024-01-11 01:05:53, 2024-01-11 01:05:54, 12664, 1253, 1
12546, thi_cuoiky-O110-23521641-2U084, 2024-01-11 01:05:56, 2024-01-11 01:05:56, 19962, 1256, 0
12547, thi_cuoiky-O11-23520899-ONHYB, 2024-01-11 01:06:01, 2024-01-11 01:06:01, 21928, 1261, 0
12548, thi_cuoiky-O11-22521469-18P28, 2024-01-11 01:06:03, 2024-01-11 01:06:03, 7990, 1263, 0
12549, thi_cuoiky-O112-23520175-ITNF6, 2024-01-11 01:06:16, 2024-01-11 01:06:16, 7117, 1276, 0
12550, thi_cuoiky-O110-23520557-MWXMV, 2024-01-11 01:06:18, 2024-01-11 01:06:19, 20048, 1278, 1
12551, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 01:06:20, 2024-01-11 01:06:20, 7877, 1280, 0
